run,latency_ms,predicted_id,predicted_label,confidence
1,7.352099986746907,3,Clientes,0.9901797771453857
2,6.858099950477481,3,Clientes,0.9880006909370422
3,7.2789001278579235,5,Varios,0.8623660802841187
4,6.356000201776624,5,Varios,0.7836305499076843
5,6.132700014859438,2,Colaboraciones,0.9941979646682739
6,6.355700083076954,3,Clientes,0.9896463751792908
7,6.01789983920753,5,Varios,0.992514431476593
8,7.07340007647872,4,Publicidad,0.9941456317901611
9,6.791600026190281,2,Colaboraciones,0.9927829504013062
10,6.269099889323115,0,Contratos,0.9929592609405518
11,6.185799837112427,2,Colaboraciones,0.8457795977592468
12,6.172799970954657,0,Contratos,0.9909147024154663
13,6.520499940961599,5,Varios,0.9926430583000183
14,6.105999927967787,0,Contratos,0.9930014610290527
15,6.913899909704924,1,Facturas,0.9928094148635864
16,5.937200039625168,5,Varios,0.9931859970092773
17,5.843200022354722,3,Clientes,0.99058997631073
18,6.914700148627162,2,Colaboraciones,0.9924107789993286
19,5.839899880811572,1,Facturas,0.9899740219116211
20,5.970899946987629,3,Clientes,0.9886738657951355
21,7.979999994859099,1,Facturas,0.9862105250358582
22,5.787700181826949,3,Clientes,0.5016385316848755
23,7.5066001154482365,3,Clientes,0.7116564512252808
24,6.690199952572584,1,Facturas,0.9931610822677612
25,6.526400102302432,4,Publicidad,0.9936517477035522
26,7.359199924394488,1,Facturas,0.9926698207855225
27,6.565599935129285,0,Contratos,0.9357708096504211
28,8.936100173741579,4,Publicidad,0.9938323497772217
29,6.395299918949604,3,Clientes,0.9891517162322998
30,7.0102999452501535,1,Facturas,0.9919373393058777
31,7.245599990710616,4,Publicidad,0.994548499584198
32,7.267800159752369,0,Contratos,0.9869814515113831
33,6.9380998611450195,5,Varios,0.9903236627578735
34,6.8651000037789345,3,Clientes,0.969471275806427
35,6.042399909347296,4,Publicidad,0.9946065545082092
36,6.243800045922399,3,Clientes,0.9849904179573059
37,7.372200023382902,2,Colaboraciones,0.9883439540863037
38,6.382600171491504,4,Publicidad,0.9943353533744812
39,6.042300025001168,5,Varios,0.9927626252174377
40,6.32670009508729,5,Varios,0.9875534772872925
41,6.233500083908439,5,Varios,0.9915169477462769
42,6.961300037801266,2,Colaboraciones,0.9938578009605408
43,6.331800017505884,0,Contratos,0.9931890964508057
44,7.17819994315505,4,Publicidad,0.9944774508476257
45,7.167399860918522,3,Clientes,0.9863311052322388
